timestamp,open,high,low,close,volume
1789371900000,724.99,725.12,724.4,724.84,288.242
1789372200000,724.84,725.11,724.64,724.88,234.125
1789372500000,724.89,725.36,724.88,724.96,345.259
1789372800000,724.96,725.06,724.09,724.1,321.1
1789373100000,724.1,725.3,724.0,725.02,934.459
1789373400000,725.03,725.58,724.56,724.57,574.824
1789373700000,724.58,724.74,724.01,724.11,303.033
1789374000000,724.1,725.47,724.1,725.47,194.044
1789374300000,725.48,725.98,724.16,724.16,480.797
1789374600000,724.16,724.64,723.86,724.1,813.687
1789374900000,724.1,724.48,724.1,724.47,257.292
1789375200000,724.48,724.95,724.32,724.51,368.157
1789375500000,724.51,724.54,723.77,723.81,350.909
1789375800000,723.82,724.06,723.68,723.72,206.059
1789376100000,723.71,724.0,723.67,723.99,194.313
1789376400000,724.0,724.73,723.99,724.61,531.292
1789376700000,724.6,724.74,724.16,724.16,389.571
1789377000000,724.17,724.32,722.97,722.98,383.777
1789377300000,722.98,722.98,722.3,722.67,708.457
